0.457,0.461,0.004,,36,60,0.6,,
0.601,0.605,0.004,,30,23,1.304347826,,
0.75,0.754,0.004,,45,51,0.882352941,,
0.897,0.901,0.004,,73,51,1.431372549,,
0.011,0.015,0.004,,27,20,1.35,,
0.151,0.155,0.004,,56,50,1.12,,
0.276,0.28,0.004,,23,45,0.511111111,,
0.417,0.421,0.004,,9,85,0.105882353,,
0.521,0.549,0.028,x,13,95,,,
0.648,0.652,0.004,,37,1,,,
0.77,0.796,0.026,X,12,89,,,
0.934,0.938,0.004,X,1,1,,,
0.872,0.898,0.026,X,52,41,,,
0.047,0.051,0.004,,50,40,1.25,,
0.194,0.198,0.004,,61,67,0.910447761,,
0.318,0.322,0.004,,10,33,0.303030303,,
0.443,0.447,0.004,,14,52,0.269230769,,
0.567,0.57,0.003,,69,21,3.285714286,,
0.735,0.739,0.004,X,1,1,,,
0.708,0.712,0.004,,10,56,0.178571429,,
0.854,0.858,0.004,,20,31,0.64516129,,
0.996,0,0.004,,71,29,2.448275862,,
0.117,0.121,0.004,,23,72,0.319444444,,
0.222,0.247,0.025,x,38,12,,,
0.372,0.397,0.025,x,48,54,,,
0.529,0.533,0.004,,45,70,0.642857143,,
0.67,0.696,0.026,x,12,58,,,
0.796,0.801,0.005,,40,56,0.714285714,,
0.919,0.948,0.029,x,45,79,,,
0.062,0.066,0.004,,52,30,1.733333333,,
0.204,0.208,0.004,,18,39,0.461538462,,
0.306,0.31,0.004,,20,28,0.714285714,,0.993306175
0.444,0.448,0.004,,51,17,3,,
0.551,0.555,0.004,,38,54,0.703703704,,
0.695,0.699,0.004,,81,62,1.306451613,,
0.818,0.822,0.004,,41,59,0.694915254,,
0.964,0.968,0.004,,40,46,0.869565217,,
0.104,0.108,0.004,,7,40,0.175,,
0.22,0.246,0.026,x,50,34,,,
0.352,0.356,0.004,,35,40,0.875,,
